player_name,position,school,projected_pick
Fernando Mendoza,QB,Indiana,1
Arvell Reese,EDGE,Ohio State,2
Jeremiyah Love,RB,Notre Dame,3
Sonny Styles,LB,Ohio State,4
Caleb Downs,S,Ohio State,5
Francis Mauigoa,OT,Miami,6
David Bailey,EDGE,Texas Tech,7
Mansoor Delane,CB,LSU,8
Carnell Tate,WR,Ohio State,9
Kenyon Sadiq,TE,Oregon,10
Rueben Bain Jr.,EDGE,Miami,11
Monroe Freeling,OT,Georgia,12
Makai Lemon,WR,USC,13
Spencer Fano,OT,Utah,14
Olaivavega Ioane,OG,Penn State,15
Jordyn Tyson,WR,Arizona State,16
Keldric Faulk,EDGE,Auburn,17
Dillon Thieneman,S,Oregon,18
Jermod McCoy,CB,Tennessee,19
Peter Woods,DT,Clemson,20
Ty Simpson,QB,Alabama,21
Chris Johnson,CB,San Diego State,22
T.J. Parker,EDGE,Clemson,23
Kadyn Proctor,OT,Alabama,24
Colton Hood,CB,Tennessee,25
KC Concepcion,WR,Texas A&M,26
Caleb Lomu,OT,Utah,27
Emmanuel McNeil-Warren,S,Toledo,28
Cashius Howell,EDGE,Texas A&M,29
Denzel Boston,WR,Washington,30
Max Iheanachor,OT,Arizona State,31
Omar Cooper Jr.,WR,Indiana,32
Akheem Mesidor,EDGE,Miami,33
Lee Hunter,DT,Texas Tech,34
Avieon Terrell,CB,Clemson,35
Brandon Cisse,CB,South Carolina,36
Blake Miller,OT,Clemson,37
C.J. Allen,LB,Georgia,38
Romello Height,EDGE,Texas Tech,39
Christen Miller,DT,Georgia,40
Gabe Jacas,EDGE,Illinois,41
Eli Stowers,TE,Vanderbilt,42
Anthony Hill Jr.,LB,Texas,43
Emmanuel Pregnon,OG,Oregon,44
D'Angelo Ponds,CB,Indiana,45
R Mason Thomas,EDGE,Oklahoma,46
Keionte Scott,CB,Miami,47
Caleb Banks,DT,Florida,48
Jadarian Price,RB,Notre Dame,49
Zachariah Branch,WR,Georgia,50
Dani Dennis-Sutton,EDGE,Penn State,51
Chris Bell,WR,Louisville,52
Keith Abney II,CB,Arizona State,53
Zion Young,EDGE,Missouri,54
Jacob Rodriguez,LB,Texas Tech,55
Germie Bernard,WR,Alabama,56
Jake Golday,LB,Cincinnati,57
Chris Brazzell II,WR,Tennessee,58
Chase Bisontis,OG,Texas A&M,59
Kayden McDonald,DT,Ohio State,60
Malachi Lawrence,EDGE,UCF,61
Elijah Sarratt,WR,Indiana,62
Derrick Moore,EDGE,Michigan,63
Kamari Ramsey,S,USC,64
Mike Washington Jr.,RB,Arkansas,65
Joshua Josephs,EDGE,Tennessee,66
Gennings Dunker,OG,Iowa,67
Malachi Fields,WR,Notre Dame,68
Domonique Orange,DT,Iowa State,69
Davison Igbinosun,CB,Ohio State,70
Gracen Halton,DT,Oklahoma,71
Max Klare,TE,Ohio State,72
Malik Muhammad,CB,Texas,73
Caleb Tiernan,OT,Northwestern,74
Ted Hurst,WR,Georgia State,75
Keyron Rutledge,OG,Georgia Tech,76
Antonio Williams,WR,Clemson,77
Josiah Trotter,LB,Missouri,78
Jake Slaughter,C,Florida,79
Drew Allar,QB,Penn State,80
Tacario Davis,CB,Washington,81
Jalen Farmer,OG,Kentucky,82
Darrell Jackson Jr.,DT,Florida State,83
Treydan Stukes,S,Arizona,84
Deion Burks,WR,Oklahoma,85
Kyle Louis,LB,Pittsburgh,86
Sam Hecht,C,Kansas State,87
Garrett Nussmeier,QB,LSU,88
Connor Lew,C,Auburn,89
L.T. Overton,DT,Alabama,90
Zane Durant,DT,Penn State,91
A.J. Haulcy,S,LSU,92
Genesis Smith,S,Arizona State,93
Carson Beck,QB,Miami,94
Ja'Kobi Lane,WR,USC,95
Bryce Lance,WR,North Dakota State,96
Bud Clark,S,TCU,97
Jonah Coleman,RB,Washington,98
Julian Neal,CB,Arkansas,99
Logan Jones,C,Iowa,100
Emmett Johnson,RB,Nebraska,101
Zakee Wheatley,S,Penn State,102
Anthony Lucas,EDGE,USC,103
Rayshaun Benny,DT,Michigan,104
Michael Trigg,TE,Baylor,105
Skyler Bell,WR,Connecticut,106
Austin Barber,OT,Florida,107
Jaishawn Barham,EDGE,Michigan,108
Brian Parker II,C,Duke,109
Sam Roush,TE,Stanford,110
Justin Joly,TE,NC State,111
Markel Bell,OT,Miami,112
Daylen Everette,CB,Georgia,113
Dontay Corleone,DT,Cincinnati,114
Eric Rivers,WR,Georgia Tech,115
C.J. Daniels,WR,Miami,116
Deontae Lawson,LB,Alabama,117
Keyron Crawford,EDGE,Auburn,118
Michael Taaffe,S,Texas,119
Taylen Green,QB,Arkansas,120
Billy Schrauth,OG,Notre Dame,121
Kaytron Allen,RB,Penn State,122
Jack Endries,TE,Texas,123
Seth McGowan,RB,Kentucky,124
Tyreak Sapp,EDGE,Florida,125
Jalon Kilgore,S,South Carolina,126
Zxavian Harris,DT,Ole Miss,127
Brenen Thompson,WR,Mississippi State,128
Harold Perkins Jr.,LB,LSU,129
Kage Casey,OG,Boise State,130
Demond Claiborne,RB,Wake Forest,131
Chandler Rivers,CB,Duke,132
Kevin Coleman Jr.,WR,Missouri,133
Domani Jackson,CB,Alabama,134
D.J. Campbell,OG,Texas,135
Devin Moore,CB,Florida,136
Cade Klubnik,QB,Clemson,137
Isaiah World,OT,Oregon,138
Tim Keenan III,DT,Alabama,139
Parker Brailsford,C,Alabama,140
Bryce Boettcher,LB,Oregon,141
Chris McClellan,DT,Missouri,142
J.C. Davis,OT,Illinois,143
Jude Bowry,OT,Boston College,144
Max Llewellyn,EDGE,Iowa,145
V.J. Payne,S,Kansas State,146
Dametrious Crownover,OT,Texas A&M,147
Trey Zuhn III,C,Texas A&M,148
Nick Singleton,RB,Penn State,149
Jalen Huskey,S,Maryland,150
Eli Raridon,TE,Notre Dame,151
Nadame Tucker,EDGE,Western Michigan,152
Charles Demmings,CB,Stephen F Austin,153
Dallen Bentley,TE,Utah,154
De'Zhaun Stribling,WR,Ole Miss,155
DeShon Singleton,S,Nebraska,156
Albert Regis,DT,Texas A&M,157
Taurean York,LB,Texas A&M,158
Reggie Virgil,WR,Texas Tech,159
DeMonte Capehart,DT,Clemson,160
Keyshaun Elliott,LB,Arizona State,161
Bishop Fitzgerald,S,USC,162
Kaleb Proctor,EDGE,SE Louisiana,163
Will Lee III,CB,Texas A&M,164
Kaleb Elarms-Orr,LB,TCU,165
Micah Morris,OG,Georgia,166
Jager Burton,C,Kentucky,167
Lorenzo Styles Jr.,S,Ohio State,168
Le'Veon Moss,RB,Texas A&M,169
Caden Curry,EDGE,Ohio State,170
Sawyer Robertson,QB,Baylor,171
Jaeden Roberts,OG,Alabama,172
