player_id,player_name,position,team,cfo_valuation,on3_valuation,ratio,confidence,suggested_value,action_taken
fdefe22d-3ffa-5c97-b420-ed5f64483f8c,Jackson Cantwell,LT,Miami,41400,1936045,46.76,HIGH,1936045,
f5d079b3-2c87-56ee-94c8-0ef6979ade7c,Brandon Smith,RB,Oregon,46800,1719514,36.74,HIGH,1719514,
877e5abd-ca13-541a-8a79-352ea6fcd0c9,Jared Curtis,QB,,117300,1655986,14.12,HIGH,1655986,
4ffc28ab-c511-4ab8-a9e2-fb6e5991363c,Dante Moore,QB,Oregon,1711394,2994313,1.75,LOW,2994313,
a27e6640-b7a0-4b5f-b933-2561964f9d09,Julian Sayin,QB,Ohio State,1413134,2393862,1.69,LOW,2393862,
a1bdc1b1-8a98-4c33-b803-398a5e2033df,Jayden Maiava,QB,USC,1473160,2159056,1.47,LOW,2159056,
c582af03-fbdd-43e9-bba7-85c7caa74f9e,John Mateer,QB,Oklahoma,1514547,1998245,1.32,LOW,1998245,
a044c988-ac60-40a5-b7bb-b3629233498b,Ty Simpson,QB,Alabama,1836000,,,LOW,,
75d0dc18-97a4-4ffc-b490-0a4f4686db21,Gunner Stockton,QB,Georgia,1754938,,,LOW,,
432e48a6-6638-43d3-aa4c-e492c9ea9a1d,Caleb Downs,S,Ohio State,1690499,,,LOW,,
152f8f70-82b8-4f86-aba4-636d7b32e4b4,Demond Williams Jr.,QB,Washington,1586835,,,LOW,,
a5b73b55-965f-4d53-bf50-9c777fcd7d75,Makai Lemon,WR,USC,1468320,,,LOW,,
5b88c435-cc8b-41af-a325-1426b39bd38d,Carson Beck,QB,Miami,1346400,,,LOW,,
94a79b5b-2857-42e6-a205-926b4ff6100a,Garrett Nussmeier,QB,LSU,1346400,,,LOW,,
665fd400-6ac3-41c4-a152-7c974d5fb16b,Marcel Reed,QB,Tennessee,1263494,,,LOW,,
bcd3ef3c-1a66-42cf-b2e7-5a835ea84c80,Derrick Moore,EDGE,Michigan,1260000,,,LOW,,
fc1d46e2-9fbe-4bd2-b462-7c1c5ae5f3d2,Cade Klubnik,QB,Clemson,1224000,,,LOW,,
c1de5295-45bc-4a90-9655-c6bac9bf2452,Denzel Boston,WR,Washington,1209600,,,LOW,,
239b286a-2852-4ed6-9340-cb92c28b9804,Rueben Bain Jr.,DL,Miami,1207500,,,LOW,,
8f5136db-1866-4955-8065-a8989626ac0e,Arvell Reese,LB,Ohio State,1207500,,,LOW,,
c31b5c35-f197-4808-9dd1-19e5b88f5f0a,CJ Carr,QB,Notre Dame,1157240,,,LOW,,
97c840b3-e9bd-4314-b46b-8706eb84bb4e,Tramell Jones Jr.,QB,Florida,1029313,,,LOW,,
bd610863-9cde-4a3d-af3d-2660a106f407,Germie Bernard,WR,Alabama,1008000,,,LOW,,
1b21e9ed-728c-4f15-8243-35679fb328ab,Caden Curry,DE,Ohio State,1008000,,,LOW,,
d3d7e4c6-db52-4f18-a736-98d45c4a1329,Jack Pyburn,DE,LSU,1008000,,,LOW,,
67ea8764-7b0e-484d-b6e9-85a6820b3b70,Jeremiyah Love,RB,Notre Dame,994174,,,LOW,,
78f5a640-7669-4946-922c-5d410e3ef069,Jacob Lane,EDGE,Washington,965999,,,LOW,,
3bab6c69-4632-46fe-a199-62c132ed0949,Avieon Terrell,CB,Clemson,905624,,,LOW,,
a13f737d-c1f6-41f5-ba77-7c9bccd857f0,Kadyn Proctor,OL,Alabama,892687,,,LOW,,
011704ee-053c-4bf1-b563-08f45a9217f6,Kayden McDonald,DL,Ohio State,869399,,,LOW,,
15654835-3c8f-4b39-88a1-d44a77b64d74,Dillon Thieneman,DB,Oregon,869399,,,LOW,,
db63d089-bf36-4d50-879f-be07ade08055,Kamran James,EDGE,Florida,845027,,,LOW,,
0197a048-72c4-4298-ac6b-edf885eda468,Braylan Shelby,DE,USC,834798,,,LOW,,
bb380090-662a-4cb9-86aa-aee40877c7d3,Peter Woods,DT,Clemson,827999,,,LOW,,
1c4b2918-d5d4-4622-b55e-7e5d417ed36b,Zachariah Branch,WR,Georgia,827999,,,LOW,,
715b41dc-2fa4-49e7-886d-04b29b9582ca,Will Heldt,DE,Clemson,808074,,,LOW,,
e9856fbe-48a9-424c-9c72-f3f699f07d0e,Kenyon Sadiq,TE,Oregon,796949,,,LOW,,
ffb87126-74f1-4254-a188-3c6d87a4958f,Ryan Wingo,WR,Texas,778885,,,LOW,,
e4a05e2b-13c2-4fc0-bb5e-242c82421734,Deion Burks,WR,Oklahoma,760320,,,LOW,,
3a3c8827-ca00-4705-8314-4f009a198f42,Weston Davis,OT,LSU,727551,,,LOW,,
c76280aa-7b75-4060-bc97-af473b308b5e,Dayon Hayes,DE,Tennessee,720000,,,LOW,,
3b67f56b-4f22-4494-bb3b-c408288930b5,Ethan Onianwa,OT,Ohio State,716549,,,LOW,,
01651bab-4b6c-46c4-85db-22627a05982b,CJ Allen,LB,Georgia,693000,,,LOW,,
eacbf9cd-d10b-41cb-b516-35c3962a0835,Zavion Thomas,WR,LSU,691200,,,LOW,,
0837a361-c85e-45d1-8e6f-9ab3f13834cf,Jermaine Mathews Jr.,CB,Ohio State,665571,,,LOW,,
e38c2a04-57b0-4022-8abd-4bed39d6d261,Chase Bisontis,OL,Tennessee,646875,,,LOW,,
92d57c84-4812-49a2-b361-8534e9b151c9,T.J. Moore,WR,Clemson,637176,,,LOW,,
5a6cbfc2-3247-4c80-a41a-137e1796cedd,Jide Abasiri,DT,USC,635584,,,LOW,,
22d2c818-e380-43c1-8a5c-5f172fa7200f,Malachi Fields,WR,Notre Dame,633600,,,LOW,,
17aa537d-98bd-49f9-820f-044109e39b70,Keionte Scott,DB,Miami,630000,,,LOW,,
994d53b9-4d6a-4527-924f-9e885b673ba8,DJ Campbell,OL,Texas,620999,,,LOW,,
12afe8f7-c455-483e-b08d-2e0a59a06877,Jonah Coleman,RB,Washington,617760,,,LOW,,
235a7baa-4189-477d-b5e0-f94131f48fe6,Malachi Toney,WR,Miami,616392,,,LOW,,
2ea06c37-2608-4ae1-bc9c-7d8e42fd757e,Julian Lewis,QB,,252000,,,LOW,,
